start_time,esports_match_id,map_name,team_one_name,team_two_name,match_winner,map_winner,winning_team_final_map_score,losing_team_final_map_score
7/5/2020 12:40,34758,Temple of Anubis,Guangzhou Charge,Shanghai Dragons,Guangzhou Charge,Guangzhou Charge,2,1
7/5/2020 13:02,34758,Watchpoint: Gibraltar,Guangzhou Charge,Shanghai Dragons,Guangzhou Charge,Shanghai Dragons,3,1
7/5/2020 13:25,34758,Busan,Guangzhou Charge,Shanghai Dragons,Guangzhou Charge,Shanghai Dragons,2,1
7/5/2020 13:48,34758,Blizzard World,Guangzhou Charge,Shanghai Dragons,Guangzhou Charge,Guangzhou Charge,2,1
7/5/2020 20:12,34752,Lijiang Tower,Toronto Defiant,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,1
7/5/2020 20:34,34752,King's Row,Philadelphia Fusion,Toronto Defiant,Philadelphia Fusion,Philadelphia Fusion,4,3
7/5/2020 21:11,34752,Temple of Anubis,Philadelphia Fusion,Toronto Defiant,Philadelphia Fusion,Philadelphia Fusion,1,0
7/5/2020 21:36,34750,Ilios,Paris Eternal,San Francisco Shock,Paris Eternal,San Francisco Shock,2,1
7/5/2020 21:58,34750,King's Row,Paris Eternal,San Francisco Shock,Paris Eternal,Paris Eternal,3,2
7/5/2020 22:30,34750,Hanamura,Paris Eternal,San Francisco Shock,Paris Eternal,San Francisco Shock,2,0
7/5/2020 22:48,34750,Rialto,Paris Eternal,San Francisco Shock,Paris Eternal,Paris Eternal,6,5
7/5/2020 23:19,34750,Oasis,Paris Eternal,San Francisco Shock,Paris Eternal,Paris Eternal,2,1
7/6/2020 0:17,34751,Lijiang Tower,Paris Eternal,Philadelphia Fusion,Paris Eternal,Paris Eternal,2,0
7/6/2020 0:33,34751,King's Row,Paris Eternal,Philadelphia Fusion,Paris Eternal,Philadelphia Fusion,4,3
7/6/2020 1:20,34751,Volskaya Industries,Philadelphia Fusion,Paris Eternal,Paris Eternal,Philadelphia Fusion,3,2
7/6/2020 1:45,34751,Watchpoint: Gibraltar,Philadelphia Fusion,Paris Eternal,Paris Eternal,Paris Eternal,3,1
7/6/2020 2:10,34751,Nepal,Paris Eternal,Philadelphia Fusion,Paris Eternal,Paris Eternal,2,0
7/6/2020 2:36,34751,Blizzard World,Paris Eternal,Philadelphia Fusion,Paris Eternal,Philadelphia Fusion,4,3
7/6/2020 3:12,34751,Rialto,Philadelphia Fusion,Paris Eternal,Paris Eternal,Paris Eternal,2,1
2020-07-17 19:17:13,34844,Lijiang Tower,Vancouver Titans,Paris Eternal,Paris Eternal,Paris Eternal,2,0
2020-07-17 19:32:33,34844,Temple of Anubis,Vancouver Titans,Paris Eternal,Paris Eternal,Paris Eternal,2,1
2020-07-17 20:07:26,34844,Havana,Vancouver Titans,Paris Eternal,Paris Eternal,Paris Eternal,3,2
2020-07-17 20:50:19,34843,Oasis,Houston Outlaws,Dallas Fuel,Dallas Fuel,Houston Outlaws,2,1
2020-07-17 21:18:08,34843,Volskaya Industries,Dallas Fuel,Houston Outlaws,Dallas Fuel,Houston Outlaws,3,2
2020-07-17 22:13:53,34843,Route 66,Dallas Fuel,Houston Outlaws,Dallas Fuel,Dallas Fuel,4,3
2020-07-17 22:45:11,34843,Eichenwalde,Houston Outlaws,Dallas Fuel,Dallas Fuel,Dallas Fuel,3,1
2020-07-17 23:08:42,34843,Nepal,Houston Outlaws,Dallas Fuel,Dallas Fuel,Dallas Fuel,2,1
2020-07-18 08:05:22,34842,Busan,Hangzhou Spark,Seoul Dynasty,Hangzhou Spark,Hangzhou Spark,2,0
